iter	Passed	Remaining
0	1	162
1	3	157
2	4	152
3	5	141
4	7	140
5	8	138
6	10	141
7	12	142
8	13	140
9	15	138
10	16	136
11	18	134
12	19	132
13	21	131
14	22	129
15	24	128
16	25	126
17	27	125
18	29	123
19	30	122
20	32	120
21	33	119
22	35	117
23	36	115
24	38	114
25	39	113
26	41	111
27	42	110
28	44	108
29	45	106
30	47	105
31	48	103
32	50	102
33	51	100
34	53	99
35	55	97
36	56	96
37	58	94
38	59	93
39	61	91
40	62	90
41	63	87
42	64	85
43	66	84
44	68	83
45	69	81
46	71	80
47	72	78
48	74	77
49	75	75
50	77	74
51	79	72
52	80	71
53	82	69
54	83	68
55	84	66
56	86	65
57	87	63
58	89	62
59	91	60
60	92	59
61	94	57
62	95	56
63	97	54
64	99	53
65	100	51
66	102	50
67	103	48
68	105	47
69	107	45
70	108	44
71	110	43
72	112	41
73	114	40
74	116	38
75	118	37
76	119	35
77	121	34
78	123	32
79	124	31
80	126	29
81	128	28
82	129	26
83	131	25
84	133	23
85	134	21
86	136	20
87	138	18
88	139	17
89	141	15
90	143	14
91	145	12
92	146	11
93	148	9
94	150	7
95	152	6
96	154	4
97	155	3
98	157	1
99	159	0
