iter	Passed	Remaining
0	155	154983
1	160	79850
2	164	54558
3	168	42037
4	173	34576
5	177	29328
6	179	25505
7	182	22613
8	184	20349
9	186	18498
10	188	16960
11	190	15667
12	192	14583
13	193	13649
14	195	12841
15	197	12121
16	198	11486
17	200	10922
18	202	10430
19	203	9973
20	204	9555
21	206	9179
22	208	8846
23	209	8537
24	211	8248
25	213	7988
26	214	7744
27	216	7509
28	217	7294
29	219	7109
30	221	6924
31	222	6744
32	224	6573
33	226	6425
34	227	6280
35	229	6144
36	231	6017
37	233	5901
38	234	5782
39	236	5670
40	237	5566
41	239	5464
42	241	5372
43	243	5285
44	244	5198
45	246	5111
46	248	5032
47	250	4960
48	251	4886
49	253	4812
50	254	4741
51	256	4673
52	257	4606
53	259	4544
54	261	4487
55	263	4435
56	264	4383
57	266	4328
58	268	4277
59	269	4228
60	271	4181
61	273	4131
62	274	4084
63	276	4041
64	277	3997
65	279	3954
66	280	3912
67	282	3878
68	284	3844
69	286	3804
70	287	3767
71	289	3733
72	291	3700
73	292	3665
74	294	3634
75	296	3605
76	298	3573
77	299	3542
78	301	3514
79	302	3484
80	304	3454
81	306	3427
82	307	3393
83	308	3368
84	310	3342
85	312	3318
86	314	3296
87	315	3273
88	317	3246
89	318	3222
90	320	3200
91	321	3176
92	323	3153
93	324	3130
94	326	3110
95	328	3089
96	329	3067
97	330	3046
98	332	3028
99	334	3007
100	335	2988
101	337	2969
102	339	2953
103	340	2935
104	342	2917
105	343	2898
106	345	2883
107	347	2866
108	348	2849
109	350	2833
110	351	2818
111	353	2802
112	354	2785
113	356	2770
114	358	2757
115	359	2742
116	360	2724
117	362	2710
118	364	2699
119	366	2684
120	367	2670
121	369	2655
122	370	2643
123	372	2630
124	373	2616
125	375	2603
126	376	2590
127	378	2576
128	379	2564
129	381	2551
130	383	2541
131	384	2530
132	386	2518
133	388	2508
134	389	2497
135	391	2487
136	392	2475
137	394	2465
138	396	2456
139	398	2446
140	400	2437
141	401	2424
142	402	2413
143	404	2402
144	405	2391
145	407	2382
146	409	2373
147	410	2363
148	412	2353
149	413	2345
150	415	2336
151	417	2327
152	418	2318
153	420	2310
154	422	2301
155	423	2293
156	425	2286
157	427	2279
158	429	2270
159	430	2262
160	431	2251
161	433	2243
162	435	2234
163	436	2226
164	438	2219
165	440	2211
166	441	2202
167	443	2194
168	444	2187
169	446	2179
170	447	2171
171	449	2163
172	451	2156
173	452	2148
174	454	2140
175	455	2132
176	457	2125
177	458	2118
178	460	2110
179	461	2103
180	463	2097
181	465	2090
182	466	2084
183	468	2077
184	470	2071
185	471	2064
186	473	2057
187	474	2050
188	476	2044
189	477	2037
190	479	2030
191	480	2024
192	482	2018
193	484	2011
194	485	2005
195	487	1999
196	489	1993
197	490	1987
198	492	1981
199	493	1974
200	495	1969
201	497	1963
202	498	1957
203	500	1951
204	502	1947
205	503	1941
206	505	1936
207	507	1930
208	509	1926
209	510	1922
210	513	1918
211	514	1913
212	516	1908
213	518	1902
214	519	1897
215	521	1892
216	523	1887
217	524	1881
218	526	1877
219	528	1872
220	529	1867
221	531	1862
222	533	1857
223	534	1852
224	536	1847
225	537	1841
226	539	1837
227	541	1833
228	543	1828
229	544	1823
230	546	1818
231	547	1813
232	549	1808
233	551	1803
234	552	1799
235	554	1794
236	556	1790
237	557	1786
238	559	1781
239	561	1776
240	562	1772
241	564	1768
242	566	1763
243	567	1759
244	569	1754
245	571	1751
246	572	1746
247	574	1741
248	576	1737
249	577	1733
250	579	1728
251	580	1724
252	582	1719
253	584	1715
254	585	1710
255	587	1706
256	588	1701
257	590	1697
258	591	1693
259	593	1688
260	595	1684
261	596	1680
262	598	1676
263	599	1671
264	601	1667
265	602	1663
266	604	1659
267	605	1654
268	607	1651
269	609	1647
270	610	1643
271	612	1638
272	614	1635
273	615	1631
274	617	1627
275	618	1623
276	620	1620
277	622	1615
278	623	1612
279	625	1608
280	627	1604
281	628	1600
282	630	1596
283	631	1592
284	633	1589
285	635	1585
286	636	1581
287	638	1578
288	639	1574
289	641	1570
290	643	1566
291	644	1562
292	646	1559
293	647	1555
294	649	1551
295	651	1548
296	652	1544
297	654	1541
298	656	1538
299	658	1535
300	659	1531
301	660	1527
302	662	1524
303	664	1520
304	665	1517
305	667	1513
306	669	1510
307	670	1506
308	672	1503
309	673	1499
310	675	1496
311	677	1493
